"","position","full_name","first_name","last_name","inch_height","weight","games","receptions","targets","receiving_yards","receiving_tds","receiving_air_yards","receiving_yards_after_catch","carries","rec_gm","ay_per_targ"
"305","WR","Kendrick Bourne","Kendrick","Bourne",73,"203",15,49,74,667,2,686,219,0,3.27,9.27
"306","WR","Jordan Matthews","Jordan","Matthews",75,"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","WR","Deebo Samuel","Deebo","Samuel",71,"214",7,33,44,391,1,97,398,8,4.71,2.2
"308","WR","Jauan Jennings","Jauan","Jennings",75,"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","WR","Matt Cole","Matt","Cole",70,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","WR","Travis Benjamin","Travis","Benjamin",70,"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","WR","Kevin White","Kevin","White",75,"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","WR","Austin Proehl","Austin","Proehl",70,"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","WR","Richie James","Richie","James",69,"185",7,23,35,394,1,373,193,0,3.29,10.66
"314","WR","River Cracraft","River","Cracraft",72,"200",3,6,9,41,0,58,11,0,2,6.44
"315","WR","Brandon Aiyuk","Brandon","Aiyuk",73,"206",12,60,96,748,5,902,289,6,5,9.4
"316","WR","Chris Thompson","Chris","Thompson",72,"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","WR","Jaydon Mickens","Jaydon","Mickens",71,"170",2,7,10,58,0,73,31,0,3.5,7.3
"318","WR","Cyril Grayson","Cyril","Grayson",69,"183",2,0,3,0,0,71,0,0,0,23.67
"319","WR","Chris Godwin","Chris","Godwin",73,"209",16,81,116,1072,8,1198,384,1,5.06,10.33
"320","WR","Josh Pearson","Josh","Pearson",76,"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","WR","Antonio Brown","Antonio","Brown",70,"185",11,53,74,564,6,674,273,3,4.82,9.11
"322","WR","John Franklin","John","Franklin",72,"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","WR","Travis Jonsen","Travis","Jonsen",76,"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","WR","Tyler Johnson","Tyler","Johnson",74,"205",13,14,21,200,2,226,73,0,1.08,10.76
"325","WR","Mike Evans","Mike","Evans",77,"231",20,81,131,1210,15,1743,298,0,4.05,13.31
"326","WR","Scott Miller","Scott","Miller",71,"174",18,37,59,581,4,915,116,5,2.06,15.51
"327","WR","Justin Watson","Justin","Watson",75,"215",3,7,11,94,0,106,19,0,2.33,9.64
"328","WR","Corey Davis","Corey","Davis",75,"209",15,65,94,984,5,1092,291,0,4.33,11.62
"329","WR","Cameron Batson","Cameron","Batson",69,"175",10,13,14,106,1,84,45,4,1.3,6
"330","WR","Rashard Davis","Rashard","Davis",69,"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","WR","Chester Rogers","Chester","Rogers",72,"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","WR","A.J. Brown","A.J.","Brown",72,"226",15,76,116,1158,12,1269,453,0,5.07,10.94
"333","WR","Marcus Johnson","Marcus","Johnson",73,"207",8,14,28,255,0,487,49,0,1.75,17.39
"334","WR","Nick Westbrook-Ikhine","Nick","Westbrook-Ikhine",75,"215",9,5,10,50,0,97,7,0,0.56,9.7
"335","WR","Adam Humphries","Adam","Humphries",71,"195",7,23,35,228,2,335,45,0,3.29,9.57
"336","WR","Kalif Raymond","Kalif","Raymond",68,"182",9,9,16,187,0,286,38,1,1,17.88
"337","WR","Cody Hollister","Cody","Hollister",76,"209",1,1,1,12,0,10,2,0,1,10
"338","WR","Antonio Gandy-Golden","Antonio","Gandy-Golden",76,"220",4,1,7,3,0,79,1,1,0.25,11.29
"339","WR","Jordan Veasy","Jordan","Veasy",75,"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","WR","Terry McLaurin","Terry","McLaurin",72,"210",16,93,141,1193,4,1371,487,2,5.81,9.72
